Код,Спеціальність,(спеціалізація),S1,S2,S3,K1,K2,K3,Прохідний бал,ГК,SP
15.1,Професійна освіта,(Комп`ютерні технології),1. Українська мова та література ,2. Математика ,3.Фізика або іноземна мова,"0,35","0,35","0,2",118.346,"1,02 або 1.00",#
29,"Інформаційна, бібліотечна та архівна справа",,1. Українська мова та література ,2. Історія України ,3. Математика або іноземна мова,"0,4","0,25","0,25",169.897,"1,00",
31,Релігієзнавство,,1. Українська мова та література ,2. Історія України,3. Математика або іноземна мова,"0,4","0,3","0,2",174.7,"1,00",
51,Економіка,(Бізнес аналітика та управління персоналом і економіка праці),1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",181.4,"1,00",
51,Економіка,(Економічна кібернетика),1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",181.4,"1,00",
53,Психологія,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або біологія,"0,3","0,3","0,3",167.8,"1,00",
61,Журналістика,,1. Українська мова та література ,2. Історія України,3. Математика або іноземна мова,"0,4","0,3","0,2",186.252,"1,00",
71,Облік і оподаткування ,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",169.728,"1,00",
72,"Фінанси, банківська справа та страхування ",,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",172.788,"1,00",
73,Менеджмент,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",176.358,"1,00",
75,Маркетинг ,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",177.888,"1,00",
76,"Підприємництво, торгівля та біржова діяльність ",,1. Українська мова та література ,2. Математика ,3. Іноземна мова або географія,"0,3","0,3","0,3",172,"1,00",
81,Право ,,1. Українська мова та література ,2. Історія України ,3. Математика або іноземна мова,"0,4","0,3","0,2",182.784,"1,00",
101,Екологія,,1. Українська мова та література ,2. Біологія,3. Хімія або географія,"0,35","0,3","0,25",159.438,"1,00",
103,Науки про Землю,(Геологія),1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3",112.65,"1,02 або 1.00",#
103,Науки про Землю,(Гідрологія),1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3",112.65,"1,02 або 1.00",#
106,Географія,,1. Українська мова та література ,2. Географія ,3. Математика або іноземна мова,"0,3","0,3","0,3",184.08,"1,02 або 1.00",#
113,Прикладна математика,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,4","0,2",170.391,"1,00",
121,Інженерія програмного забезпечення,(Інтернет речей),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,35","0,35","0,2",178.806,"1,00",
122,Комп'ютерні науки,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0.35","0.35","0.2",170.901,"1.00",
123,Комп`ютерна інженерія,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,35","0,25",167.45,"1,00",
126,Інформаційні системи та технології,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,35","0,35","0,2",167.892,"1,00",
141,"Електроенергетика, електротехніка та електромеханіка ","(Електроенергетика, електротехніка та електромеханіка; Smart -енергетика та електромобільніссть)",1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25",104.612,"1,02 або 1.00",#
133,Галузеве машинобудування,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",107.406,"1,02 або 1.00",#
144,Теплоенергетика,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",104.612,"1,02 або 1.00",#
145,Гідроенергетика ,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",104.612,"1,02 або 1.00",#
151,Автоматизація та комп'ютерно-інтегровані технології,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25",146.523,"1,02 або 1.00",#
151,Автоматизація та комп'ютерно-інтегровані технології,(Робототехніка та штучний інтелект),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,25","0,4","0,25",146.523,"1,02 або 1.00",#
183,Технології захисту навколишнього середовища,,1. Українська мова та література ,2. Математика,3. Фізика або біологія,"0,35","0,3","0,25",135.616,"1,02 або 1.00",#
184,Гірництво,,1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3",129.79,"1,02 або 1.00",#
191,Архітектура та містобудування ,,1. Українська мова та література ,2. Математика ,3. Творчий конкурс,"0,2","0,2","0,5",179.418,"1,00",
192,Будівництво та цивільна інженерія,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",105.913,"1,02 або 1.00",#
193,Геодезія та землеустрій,,1. Українська мова та література ,2. Математика ,3. Географія або Історія України,"0,35","0,2","0,35",161.626,"1,02 або 1.00",#
194,"Гідротехнічне будівництво, водна інженерія та водні технології",,1. Українська мова та література ,2. Математика ,3. Фізика або географія,"0,3","0,3","0,3",150.962,"1,02 або 1.00",#
201,Агрономія,,1. Українська мова та література ,2. Біологія ,3. Хімія або математика,"0,35","0,3","0,25",135.93,"1,02 або 1.00",#
207,Водні біоресурси та аквакультура,,1. Українська мова та література ,2. Біологія ,3. Хімія або математика,"0,25","0,4","0,25",138.5,"1,02 або 1.00",#
208,Агроінженерія,,1. Українська мова та література ,2. Математика,3. Фізика або географія,"0,3","0,3","0,3",108.599,"1,02 або 1.00",#
227,"Фізична терапія, ерготерапія",,1. Українська мова та література ,2. Біологія або хімія,3. Фізика або математика,"0,3","0,35","0,25",150.96,"1,00",
242,Туризм,,1. Українська мова та література ,2. Іноземна мова ,3. Географія або математика,"0,25","0,3","0,35",175.542,"1,00",
263,Цивільна безпека,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",152.72,"1,02 або 1.00",#
274,Автомобільний транспорт,,1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",132.498,"1,02 або 1.00",#
275.03,Транспортні технології,(на автомобільному транспорті),1. Українська мова та література ,2. Математика,3. Фізика або іноземна мова,"0,3","0,3","0,3",134.5,"1,02 або 1.00",#
281,Публічне управління та адміністрування,,1. Українська мова та література ,2. Математика ,3. Іноземна мова або історія України,"0,4","0,25","0,25",182.274,"1,00",
292,Міжнародні економічні відносини ,(Міжнародний бізнес),1. Українська мова та література ,2. Іноземна мова ,3. Географія або математика,"0,35","0,3","0,25",186.711,"1,00",
